,cycle,sexe,Date,Value
0,Secondaire,Total,1970-01-01 00:00:00.000001989,8.7
1,Secondaire,Total,1970-01-01 00:00:00.000001990,9.9
2,Secondaire,Total,1970-01-01 00:00:00.000001991,8.8
3,Secondaire,Total,1970-01-01 00:00:00.000001992,11.0
4,Secondaire,Total,1970-01-01 00:00:00.000001993,10.8
5,Secondaire,Total,1970-01-01 00:00:00.000001994,10.8
6,Secondaire,Total,1970-01-01 00:00:00.000001995,11.1
7,Secondaire,Total,1970-01-01 00:00:00.000001996,10.9
8,Secondaire,Total,1970-01-01 00:00:00.000001997,10.7
9,Secondaire,Total,1970-01-01 00:00:00.000001998,10.3
10,Secondaire,Total,1970-01-01 00:00:00.000001999,10.4
11,Secondaire,Total,1970-01-01 00:00:00.000002000,8.0
12,Secondaire,Total,1970-01-01 00:00:00.000002001,10.4
13,Secondaire,Total,1970-01-01 00:00:00.000002002,11.7
14,Secondaire,Total,1970-01-01 00:00:00.000002003,10.6
15,Secondaire,Total,1970-01-01 00:00:00.000002004,12.2
16,Secondaire,Total,1970-01-01 00:00:00.000002005,12.5
17,Secondaire,Total,1970-01-01 00:00:00.000002006,12.2
18,Secondaire,Total,1970-01-01 00:00:00.000002007,14.1
19,Secondaire,Total,1970-01-01 00:00:00.000002008,15.8
20,Secondaire,Total,1970-01-01 00:00:00.000002009,18.4
21,Secondaire,Total,1970-01-01 00:00:00.000002010,19.6
22,Secondaire,Total,1970-01-01 00:00:00.000002011,21.7
23,Secondaire,Total,1970-01-01 00:00:00.000002012,25.8
24,Secondaire,Total,1970-01-01 00:00:00.000002013,28.6
25,Secondaire,Total,1970-01-01 00:00:00.000002014,31.4
26,Secondaire,Total,1970-01-01 00:00:00.000002015,32.4
27,Secondaire,Total,1970-01-01 00:00:00.000002016,33.5
28,Secondaire,Total,1970-01-01 00:00:00.000002017,34.3
29,Secondaire,Total,1970-01-01 00:00:00.000002018,33.8
30,Secondaire,Masculin,1970-01-01 00:00:00.000001989,12.9
31,Secondaire,Masculin,1970-01-01 00:00:00.000001990,14.5
32,Secondaire,Masculin,1970-01-01 00:00:00.000001991,12.8
33,Secondaire,Masculin,1970-01-01 00:00:00.000001992,15.9
34,Secondaire,Masculin,1970-01-01 00:00:00.000001993,15.6
35,Secondaire,Masculin,1970-01-01 00:00:00.000001994,15.6
36,Secondaire,Masculin,1970-01-01 00:00:00.000001995,15.9
37,Secondaire,Masculin,1970-01-01 00:00:00.000001996,15.3
38,Secondaire,Masculin,1970-01-01 00:00:00.000001997,14.9
39,Secondaire,Masculin,1970-01-01 00:00:00.000001998,14.3
40,Secondaire,Masculin,1970-01-01 00:00:00.000001999,14.2
41,Secondaire,Masculin,1970-01-01 00:00:00.000002000,10.7
42,Secondaire,Masculin,1970-01-01 00:00:00.000002001,14.1
43,Secondaire,Masculin,1970-01-01 00:00:00.000002002,16.0
44,Secondaire,Masculin,1970-01-01 00:00:00.000002003,14.4
45,Secondaire,Masculin,1970-01-01 00:00:00.000002004,16.3
46,Secondaire,Masculin,1970-01-01 00:00:00.000002005,16.5
47,Secondaire,Masculin,1970-01-01 00:00:00.000002006,16.0
48,Secondaire,Masculin,1970-01-01 00:00:00.000002007,17.3
49,Secondaire,Masculin,1970-01-01 00:00:00.000002008,18.7
50,Secondaire,Masculin,1970-01-01 00:00:00.000002009,21.3
51,Secondaire,Masculin,1970-01-01 00:00:00.000002010,22.4
52,Secondaire,Masculin,1970-01-01 00:00:00.000002011,24.3
53,Secondaire,Masculin,1970-01-01 00:00:00.000002012,28.6
54,Secondaire,Masculin,1970-01-01 00:00:00.000002013,31.2
55,Secondaire,Masculin,1970-01-01 00:00:00.000002014,33.4
56,Secondaire,Masculin,1970-01-01 00:00:00.000002015,33.6
57,Secondaire,Masculin,1970-01-01 00:00:00.000002016,34.2
58,Secondaire,Masculin,1970-01-01 00:00:00.000002017,34.2
59,Secondaire,Masculin,1970-01-01 00:00:00.000002018,33.0
60,Secondaire,Féminin,1970-01-01 00:00:00.000001989,5.1
61,Secondaire,Féminin,1970-01-01 00:00:00.000001990,6.0
62,Secondaire,Féminin,1970-01-01 00:00:00.000001991,5.4
63,Secondaire,Féminin,1970-01-01 00:00:00.000001992,6.7
64,Secondaire,Féminin,1970-01-01 00:00:00.000001993,6.7
65,Secondaire,Féminin,1970-01-01 00:00:00.000001994,6.7
66,Secondaire,Féminin,1970-01-01 00:00:00.000001995,6.9
67,Secondaire,Féminin,1970-01-01 00:00:00.000001996,7.0
68,Secondaire,Féminin,1970-01-01 00:00:00.000001997,7.1
69,Secondaire,Féminin,1970-01-01 00:00:00.000001998,6.8
70,Secondaire,Féminin,1970-01-01 00:00:00.000001999,7.2
71,Secondaire,Féminin,1970-01-01 00:00:00.000002000,5.6
72,Secondaire,Féminin,1970-01-01 00:00:00.000002001,7.3
73,Secondaire,Féminin,1970-01-01 00:00:00.000002002,8.0
74,Secondaire,Féminin,1970-01-01 00:00:00.000002003,7.5
75,Secondaire,Féminin,1970-01-01 00:00:00.000002004,8.7
76,Secondaire,Féminin,1970-01-01 00:00:00.000002005,9.2
77,Secondaire,Féminin,1970-01-01 00:00:00.000002006,8.9
78,Secondaire,Féminin,1970-01-01 00:00:00.000002007,11.0
79,Secondaire,Féminin,1970-01-01 00:00:00.000002008,13.0
80,Secondaire,Féminin,1970-01-01 00:00:00.000002009,15.6
81,Secondaire,Féminin,1970-01-01 00:00:00.000002010,16.7
82,Secondaire,Féminin,1970-01-01 00:00:00.000002011,18.9
83,Secondaire,Féminin,1970-01-01 00:00:00.000002012,22.9
84,Secondaire,Féminin,1970-01-01 00:00:00.000002013,25.9
85,Secondaire,Féminin,1970-01-01 00:00:00.000002014,29.2
86,Secondaire,Féminin,1970-01-01 00:00:00.000002015,31.2
87,Secondaire,Féminin,1970-01-01 00:00:00.000002016,32.8
88,Secondaire,Féminin,1970-01-01 00:00:00.000002017,34.3
89,Secondaire,Féminin,1970-01-01 00:00:00.000002018,34.5
90,Moyen,Total,1970-01-01 00:00:00.000001978,14.2
91,Moyen,Total,1970-01-01 00:00:00.000001979,14.2
92,Moyen,Total,1970-01-01 00:00:00.000001980,14.5
93,Moyen,Total,1970-01-01 00:00:00.000001981,14.9
94,Moyen,Total,1970-01-01 00:00:00.000001982,15.7
95,Moyen,Total,1970-01-01 00:00:00.000001983,16.7
96,Moyen,Total,1970-01-01 00:00:00.000001984,16.7
97,Moyen,Total,1970-01-01 00:00:00.000001985,17.3
98,Moyen,Total,1970-01-01 00:00:00.000001986,17.8
99,Moyen,Total,1970-01-01 00:00:00.000001987,17.9
100,Moyen,Total,1970-01-01 00:00:00.000001988,18.1
101,Moyen,Total,1970-01-01 00:00:00.000001989,20.4
102,Moyen,Total,1970-01-01 00:00:00.000001990,20.5
103,Moyen,Total,1970-01-01 00:00:00.000001991,20.7
104,Moyen,Total,1970-01-01 00:00:00.000001992,21.0
105,Moyen,Total,1970-01-01 00:00:00.000001993,20.1
106,Moyen,Total,1970-01-01 00:00:00.000001994,19.9
107,Moyen,Total,1970-01-01 00:00:00.000001995,20.4
108,Moyen,Total,1970-01-01 00:00:00.000001996,20.3
109,Moyen,Total,1970-01-01 00:00:00.000001997,20.1
110,Moyen,Total,1970-01-01 00:00:00.000001998,20.0
111,Moyen,Total,1970-01-01 00:00:00.000001999,21.8
112,Moyen,Total,1970-01-01 00:00:00.000002000,22.6
113,Moyen,Total,1970-01-01 00:00:00.000002001,23.1
114,Moyen,Total,1970-01-01 00:00:00.000002002,24.4
115,Moyen,Total,1970-01-01 00:00:00.000002003,26.3
116,Moyen,Total,1970-01-01 00:00:00.000002004,29.4
117,Moyen,Total,1970-01-01 00:00:00.000002005,31.9
118,Moyen,Total,1970-01-01 00:00:00.000002006,35.2
119,Moyen,Total,1970-01-01 00:00:00.000002007,35.9
120,Moyen,Total,1970-01-01 00:00:00.000002008,39.2
121,Moyen,Total,1970-01-01 00:00:00.000002009,41.4
122,Moyen,Total,1970-01-01 00:00:00.000002010,45.7
123,Moyen,Total,1970-01-01 00:00:00.000002011,53.2
124,Moyen,Total,1970-01-01 00:00:00.000002012,56.4
125,Moyen,Total,1970-01-01 00:00:00.000002013,58.0
126,Moyen,Total,1970-01-01 00:00:00.000002014,58.3
127,Moyen,Total,1970-01-01 00:00:00.000002015,57.7
128,Moyen,Total,1970-01-01 00:00:00.000002016,53.9
129,Moyen,Total,1970-01-01 00:00:00.000002017,50.6
130,Moyen,Total,1970-01-01 00:00:00.000002018,49.5
131,Moyen,Masculin,1970-01-01 00:00:00.000001978,19.0
132,Moyen,Masculin,1970-01-01 00:00:00.000001979,19.5
133,Moyen,Masculin,1970-01-01 00:00:00.000001980,19.8
134,Moyen,Masculin,1970-01-01 00:00:00.000001981,20.2
135,Moyen,Masculin,1970-01-01 00:00:00.000001982,21.1
136,Moyen,Masculin,1970-01-01 00:00:00.000001983,22.7
137,Moyen,Masculin,1970-01-01 00:00:00.000001984,22.8
138,Moyen,Masculin,1970-01-01 00:00:00.000001985,23.6
139,Moyen,Masculin,1970-01-01 00:00:00.000001986,24.3
140,Moyen,Masculin,1970-01-01 00:00:00.000001987,24.4
141,Moyen,Masculin,1970-01-01 00:00:00.000001988,24.6
142,Moyen,Masculin,1970-01-01 00:00:00.000001989,27.9
143,Moyen,Masculin,1970-01-01 00:00:00.000001990,27.8
144,Moyen,Masculin,1970-01-01 00:00:00.000001991,27.8
145,Moyen,Masculin,1970-01-01 00:00:00.000001992,28.1
146,Moyen,Masculin,1970-01-01 00:00:00.000001993,26.7
147,Moyen,Masculin,1970-01-01 00:00:00.000001994,26.0
148,Moyen,Masculin,1970-01-01 00:00:00.000001995,26.5
149,Moyen,Masculin,1970-01-01 00:00:00.000001996,26.0
150,Moyen,Masculin,1970-01-01 00:00:00.000001997,25.7
151,Moyen,Masculin,1970-01-01 00:00:00.000001998,25.4
152,Moyen,Masculin,1970-01-01 00:00:00.000001999,27.3
153,Moyen,Masculin,1970-01-01 00:00:00.000002000,28.1
154,Moyen,Masculin,1970-01-01 00:00:00.000002001,28.7
155,Moyen,Masculin,1970-01-01 00:00:00.000002002,29.8
156,Moyen,Masculin,1970-01-01 00:00:00.000002003,31.9
157,Moyen,Masculin,1970-01-01 00:00:00.000002004,35.0
158,Moyen,Masculin,1970-01-01 00:00:00.000002005,37.4
159,Moyen,Masculin,1970-01-01 00:00:00.000002006,41.1
160,Moyen,Masculin,1970-01-01 00:00:00.000002007,38.7
161,Moyen,Masculin,1970-01-01 00:00:00.000002008,42.7
162,Moyen,Masculin,1970-01-01 00:00:00.000002009,44.0
163,Moyen,Masculin,1970-01-01 00:00:00.000002010,47.6
164,Moyen,Masculin,1970-01-01 00:00:00.000002011,54.0
165,Moyen,Masculin,1970-01-01 00:00:00.000002012,56.2
166,Moyen,Masculin,1970-01-01 00:00:00.000002013,57.1
167,Moyen,Masculin,1970-01-01 00:00:00.000002014,55.7
168,Moyen,Masculin,1970-01-01 00:00:00.000002015,55.0
169,Moyen,Masculin,1970-01-01 00:00:00.000002016,50.7
170,Moyen,Masculin,1970-01-01 00:00:00.000002017,47.0
171,Moyen,Masculin,1970-01-01 00:00:00.000002018,45.9
172,Moyen,Féminin,1970-01-01 00:00:00.000001978,9.5
173,Moyen,Féminin,1970-01-01 00:00:00.000001979,9.3
174,Moyen,Féminin,1970-01-01 00:00:00.000001980,9.4
175,Moyen,Féminin,1970-01-01 00:00:00.000001981,9.9
176,Moyen,Féminin,1970-01-01 00:00:00.000001982,10.7
177,Moyen,Féminin,1970-01-01 00:00:00.000001983,11.2
178,Moyen,Féminin,1970-01-01 00:00:00.000001984,11.1
179,Moyen,Féminin,1970-01-01 00:00:00.000001985,11.5
180,Moyen,Féminin,1970-01-01 00:00:00.000001986,11.7
181,Moyen,Féminin,1970-01-01 00:00:00.000001987,11.8
182,Moyen,Féminin,1970-01-01 00:00:00.000001988,12.1
183,Moyen,Féminin,1970-01-01 00:00:00.000001989,13.4
184,Moyen,Féminin,1970-01-01 00:00:00.000001990,13.6
185,Moyen,Féminin,1970-01-01 00:00:00.000001991,14.0
186,Moyen,Féminin,1970-01-01 00:00:00.000001992,14.3
187,Moyen,Féminin,1970-01-01 00:00:00.000001993,14.0
188,Moyen,Féminin,1970-01-01 00:00:00.000001994,14.3
189,Moyen,Féminin,1970-01-01 00:00:00.000001995,14.8
190,Moyen,Féminin,1970-01-01 00:00:00.000001996,15.0
191,Moyen,Féminin,1970-01-01 00:00:00.000001997,14.8
192,Moyen,Féminin,1970-01-01 00:00:00.000001998,15.0
193,Moyen,Féminin,1970-01-01 00:00:00.000001999,16.5
194,Moyen,Féminin,1970-01-01 00:00:00.000002000,17.3
195,Moyen,Féminin,1970-01-01 00:00:00.000002001,17.9
196,Moyen,Féminin,1970-01-01 00:00:00.000002002,19.3
197,Moyen,Féminin,1970-01-01 00:00:00.000002003,21.1
198,Moyen,Féminin,1970-01-01 00:00:00.000002004,24.2
199,Moyen,Féminin,1970-01-01 00:00:00.000002005,26.7
200,Moyen,Féminin,1970-01-01 00:00:00.000002006,29.7
201,Moyen,Féminin,1970-01-01 00:00:00.000002007,32.9
202,Moyen,Féminin,1970-01-01 00:00:00.000002008,35.6
203,Moyen,Féminin,1970-01-01 00:00:00.000002009,38.7
204,Moyen,Féminin,1970-01-01 00:00:00.000002010,43.7
205,Moyen,Féminin,1970-01-01 00:00:00.000002011,55.9
206,Moyen,Féminin,1970-01-01 00:00:00.000002012,56.5
207,Moyen,Féminin,1970-01-01 00:00:00.000002013,58.9
208,Moyen,Féminin,1970-01-01 00:00:00.000002014,61.0
209,Moyen,Féminin,1970-01-01 00:00:00.000002015,60.6
210,Moyen,Féminin,1970-01-01 00:00:00.000002016,57.1
211,Moyen,Féminin,1970-01-01 00:00:00.000002017,54.3
212,Moyen,Féminin,1970-01-01 00:00:00.000002018,53.3
213,Elémentaire,Total,1970-01-01 00:00:00.000001989,57.3
214,Elémentaire,Total,1970-01-01 00:00:00.000001990,57.1
215,Elémentaire,Total,1970-01-01 00:00:00.000001991,56.8
216,Elémentaire,Total,1970-01-01 00:00:00.000001992,55.8
217,Elémentaire,Total,1970-01-01 00:00:00.000001993,54.3
218,Elémentaire,Total,1970-01-01 00:00:00.000001994,54.4
219,Elémentaire,Total,1970-01-01 00:00:00.000001995,54.6
220,Elémentaire,Total,1970-01-01 00:00:00.000001996,57.0
221,Elémentaire,Total,1970-01-01 00:00:00.000001997,59.7
222,Elémentaire,Total,1970-01-01 00:00:00.000001998,61.7
223,Elémentaire,Total,1970-01-01 00:00:00.000001999,65.5
224,Elémentaire,Total,1970-01-01 00:00:00.000002000,67.5
225,Elémentaire,Total,1970-01-01 00:00:00.000002001,69.4
226,Elémentaire,Total,1970-01-01 00:00:00.000002002,71.6
227,Elémentaire,Total,1970-01-01 00:00:00.000002003,75.8
228,Elémentaire,Total,1970-01-01 00:00:00.000002004,79.9
229,Elémentaire,Total,1970-01-01 00:00:00.000002005,81.6
230,Elémentaire,Total,1970-01-01 00:00:00.000002006,81.8
231,Elémentaire,Total,1970-01-01 00:00:00.000002007,86.0
232,Elémentaire,Total,1970-01-01 00:00:00.000002008,90.1
233,Elémentaire,Total,1970-01-01 00:00:00.000002009,92.5
234,Elémentaire,Total,1970-01-01 00:00:00.000002010,95.8
235,Elémentaire,Total,1970-01-01 00:00:00.000002011,93.9
236,Elémentaire,Total,1970-01-01 00:00:00.000002012,94.1
237,Elémentaire,Total,1970-01-01 00:00:00.000002013,93.0
238,Elémentaire,Total,1970-01-01 00:00:00.000002014,84.8
239,Elémentaire,Total,1970-01-01 00:00:00.000002015,85.1
240,Elémentaire,Total,1970-01-01 00:00:00.000002016,85.9
241,Elémentaire,Total,1970-01-01 00:00:00.000002017,86.0
242,Elémentaire,Masculin,1970-01-01 00:00:00.000001989,67.5
243,Elémentaire,Masculin,1970-01-01 00:00:00.000001990,66.8
244,Elémentaire,Masculin,1970-01-01 00:00:00.000001991,66.2
245,Elémentaire,Masculin,1970-01-01 00:00:00.000001992,64.7
246,Elémentaire,Masculin,1970-01-01 00:00:00.000001993,62.7
247,Elémentaire,Masculin,1970-01-01 00:00:00.000001994,62.8
248,Elémentaire,Masculin,1970-01-01 00:00:00.000001995,62.7
249,Elémentaire,Masculin,1970-01-01 00:00:00.000001996,64.3
250,Elémentaire,Masculin,1970-01-01 00:00:00.000001997,66.6
251,Elémentaire,Masculin,1970-01-01 00:00:00.000001998,68.0
252,Elémentaire,Masculin,1970-01-01 00:00:00.000001999,73.1
253,Elémentaire,Masculin,1970-01-01 00:00:00.000002000,73.5
254,Elémentaire,Masculin,1970-01-01 00:00:00.000002001,73.9
255,Elémentaire,Masculin,1970-01-01 00:00:00.000002002,75.5
256,Elémentaire,Masculin,1970-01-01 00:00:00.000002003,79.3
257,Elémentaire,Masculin,1970-01-01 00:00:00.000002004,82.4
258,Elémentaire,Masculin,1970-01-01 00:00:00.000002005,82.3
259,Elémentaire,Masculin,1970-01-01 00:00:00.000002006,81.5
260,Elémentaire,Masculin,1970-01-01 00:00:00.000002007,86.7
261,Elémentaire,Masculin,1970-01-01 00:00:00.000002008,88.1
262,Elémentaire,Masculin,1970-01-01 00:00:00.000002009,89.4
263,Elémentaire,Masculin,1970-01-01 00:00:00.000002010,91.7
264,Elémentaire,Masculin,1970-01-01 00:00:00.000002011,89.5
265,Elémentaire,Masculin,1970-01-01 00:00:00.000002012,88.9
266,Elémentaire,Masculin,1970-01-01 00:00:00.000002013,87.9
267,Elémentaire,Masculin,1970-01-01 00:00:00.000002014,79.7
268,Elémentaire,Masculin,1970-01-01 00:00:00.000002015,81.0
269,Elémentaire,Masculin,1970-01-01 00:00:00.000002016,81.0
270,Elémentaire,Masculin,1970-01-01 00:00:00.000002017,80.2
271,Elémentaire,Féminin,1970-01-01 00:00:00.000001989,47.2
272,Elémentaire,Féminin,1970-01-01 00:00:00.000001990,47.4
273,Elémentaire,Féminin,1970-01-01 00:00:00.000001991,47.5
274,Elémentaire,Féminin,1970-01-01 00:00:00.000001992,47.1
275,Elémentaire,Féminin,1970-01-01 00:00:00.000001993,45.9
276,Elémentaire,Féminin,1970-01-01 00:00:00.000001994,46.1
277,Elémentaire,Féminin,1970-01-01 00:00:00.000001995,46.6
278,Elémentaire,Féminin,1970-01-01 00:00:00.000001996,49.3
279,Elémentaire,Féminin,1970-01-01 00:00:00.000001997,52.9
280,Elémentaire,Féminin,1970-01-01 00:00:00.000001998,55.5
281,Elémentaire,Féminin,1970-01-01 00:00:00.000001999,58.1
282,Elémentaire,Féminin,1970-01-01 00:00:00.000002000,61.5
283,Elémentaire,Féminin,1970-01-01 00:00:00.000002001,64.8
284,Elémentaire,Féminin,1970-01-01 00:00:00.000002002,67.6
285,Elémentaire,Féminin,1970-01-01 00:00:00.000002003,72.3
286,Elémentaire,Féminin,1970-01-01 00:00:00.000002004,77.3
287,Elémentaire,Féminin,1970-01-01 00:00:00.000002005,80.8
288,Elémentaire,Féminin,1970-01-01 00:00:00.000002006,82.2
289,Elémentaire,Féminin,1970-01-01 00:00:00.000002007,88.5
290,Elémentaire,Féminin,1970-01-01 00:00:00.000002008,92.3
291,Elémentaire,Féminin,1970-01-01 00:00:00.000002009,95.8
292,Elémentaire,Féminin,1970-01-01 00:00:00.000002010,100.0
293,Elémentaire,Féminin,1970-01-01 00:00:00.000002011,98.6
294,Elémentaire,Féminin,1970-01-01 00:00:00.000002012,99.5
295,Elémentaire,Féminin,1970-01-01 00:00:00.000002013,98.4
296,Elémentaire,Féminin,1970-01-01 00:00:00.000002014,90.3
297,Elémentaire,Féminin,1970-01-01 00:00:00.000002015,89.3
298,Elémentaire,Féminin,1970-01-01 00:00:00.000002016,91.0
299,Elémentaire,Féminin,1970-01-01 00:00:00.000002017,92.2
300,Prescolaire,Total,1970-01-01 00:00:00.000002007,8.0
301,Prescolaire,Total,1970-01-01 00:00:00.000002008,8.8
302,Prescolaire,Total,1970-01-01 00:00:00.000002009,9.1
303,Prescolaire,Total,1970-01-01 00:00:00.000002010,9.9
304,Prescolaire,Total,1970-01-01 00:00:00.000002011,10.7
305,Prescolaire,Total,1970-01-01 00:00:00.000002012,11.3
306,Prescolaire,Total,1970-01-01 00:00:00.000002013,12.1
307,Prescolaire,Total,1970-01-01 00:00:00.000002014,15.9
308,Prescolaire,Total,1970-01-01 00:00:00.000002015,16.7
309,Prescolaire,Total,1970-01-01 00:00:00.000002016,17.2
310,Prescolaire,Total,1970-01-01 00:00:00.000002017,17.4
311,Prescolaire,Total,1970-01-01 00:00:00.000002018,17.8
312,Prescolaire,Masculin,1970-01-01 00:00:00.000002007,7.4
313,Prescolaire,Masculin,1970-01-01 00:00:00.000002008,8.1
314,Prescolaire,Masculin,1970-01-01 00:00:00.000002009,8.5
315,Prescolaire,Masculin,1970-01-01 00:00:00.000002010,9.4
316,Prescolaire,Masculin,1970-01-01 00:00:00.000002011,10.0
317,Prescolaire,Masculin,1970-01-01 00:00:00.000002012,10.7
318,Prescolaire,Masculin,1970-01-01 00:00:00.000002013,11.4
319,Prescolaire,Masculin,1970-01-01 00:00:00.000002014,14.7
320,Prescolaire,Masculin,1970-01-01 00:00:00.000002015,15.8
321,Prescolaire,Masculin,1970-01-01 00:00:00.000002016,16.1
322,Prescolaire,Masculin,1970-01-01 00:00:00.000002017,16.2
323,Prescolaire,Masculin,1970-01-01 00:00:00.000002018,16.7
324,Prescolaire,Féminin,1970-01-01 00:00:00.000002007,8.6
325,Prescolaire,Féminin,1970-01-01 00:00:00.000002008,9.4
326,Prescolaire,Féminin,1970-01-01 00:00:00.000002009,9.8
327,Prescolaire,Féminin,1970-01-01 00:00:00.000002010,10.5
328,Prescolaire,Féminin,1970-01-01 00:00:00.000002011,11.4
329,Prescolaire,Féminin,1970-01-01 00:00:00.000002012,12.0
330,Prescolaire,Féminin,1970-01-01 00:00:00.000002013,12.7
331,Prescolaire,Féminin,1970-01-01 00:00:00.000002014,17.1
332,Prescolaire,Féminin,1970-01-01 00:00:00.000002015,17.5
333,Prescolaire,Féminin,1970-01-01 00:00:00.000002016,18.4
334,Prescolaire,Féminin,1970-01-01 00:00:00.000002017,18.7
335,Prescolaire,Féminin,1970-01-01 00:00:00.000002018,19.0
